"_id__$oid","last_updated__$date","|","|__odour","|__time","|__ph","|__total_alkalinity","|__mlss","|__do","|__percent_settlement","|__svi","|__cod","|__tss","|__ammonia","|__phosphate","|__sulphide","|__bod","|__dosing_mode","|__flow","|__applied_dose","|__fecl3_concentration_percent","|__fecl3_consumption","|__fecl3_concentration_ppm","|__dose_rate","|__$date","|__$oid","is_deleted","custom_dosing_data__dosing_mode","custom_dosing_data__flow","custom_dosing_data__applied_dose","custom_dosing_data__fecl3_concentration_percent","custom_dosing_data__fecl3_consumption","custom_dosing_data__fecl3_concentration_ppm","custom_dosing_data__dose_rate","raw_sewage__odour","raw_sewage__time","raw_sewage__ph","raw_sewage__cod","raw_sewage__tss","raw_sewage__ammonia","raw_sewage__phosphate","raw_sewage__sulphide","raw_sewage__bod","inlet_channel__odour","inlet_channel__time","inlet_channel__ph","inlet_channel__cod","inlet_channel__tss","inlet_channel__ammonia","inlet_channel__phosphate","inlet_channel__sulphide","inlet_channel__bod","inlet__odour","inlet__time","inlet__ph","inlet__cod","inlet__tss","inlet__ammonia","inlet__phosphate","inlet__sulphide","inlet__bod","pst_inlet__odour","pst_inlet__time","pst_inlet__ph","pst_inlet__cod","pst_inlet__tss","pst_inlet__ammonia","pst_inlet__phosphate","pst_inlet__sulphide","pst_inlet__bod","pst_outlet__odour","pst_outlet__time","pst_outlet__ph","pst_outlet__cod","pst_outlet__tss","pst_outlet__ammonia","pst_outlet__phosphate","pst_outlet__sulphide","pst_outlet__bod","at__odour","at__time","at__ph","at__mlss","at__do","at__percent_settlement","at__svi","fst__odour","fst__time","fst__ph","fst__cod","fst__tss","fst__ammonia","fst__phosphate","fst__sulphide","fst__do","remarks","date","user_id","odour_id","analysis_id","createdAt__$date","updatedAt__$date","__v","bod_date_time","updated_by"
"","","pst_inlet","offensive","","7.2","","","","","","270","300","30","3.8","4.2","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.3","","","","","","220","144","28","2.6","2.6","105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","mildodour","","7.3","","460","2.26","5","108.69565217391305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","odourless","10:40","7.5","","","0","","","85","55","22","2","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-18T11:10:18.861Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-18T11:11:13.62Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60f55dbb6945830013edee91","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-19","60f145d12287270012a59b6a","","ubhv530ytg","","","0","null","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-15T09:42:47.031Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","10685","1.5","10","16.0275","100000","160.275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","mildodour","","7.1","","","","","","280","284","28","2.5","2.4","175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","odourless","","6.9","","","","","","220","232","2.4","1.9","0.8","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","odourless","","7.1","","","","","","250","234","22","1.8","1.2","115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","odourless","","7.3","","","","","","370","256","19","1.8","1.6","152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","odourless","","7.3","","","","","","130","132","15","1.2","1.6","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","odourless","","7.4","","720","0.98","5","69.44444444444444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","13:29","7.4","","","0","","","170","61","10","0.8","3.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-19T11:10:52.002Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-20T10:50:20.055Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60f55f2d6945830013edee9a","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-16","60f145d12287270012a59b6a","","803cs1ld3a","","","0","null","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-15T09:42:47.031Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","9865","1.5","10","14.7975","100000","147.975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","","7.2","","","","","","360","224","38","4.2","5","175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","offensive","","7.3","","","","","","210","212","37","4.1","3.6","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","offensive","","7.3","","","","","","240","212","34","3.2","3.6","115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","offensive","","7.3","","","","","","360","242","30","3.4","4.8","152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","offensive","","7.4","","","","","","120","130","28","2.2","3.6","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","mildodour","","7.5","","420","0.84","3","71.42857142857143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","","7.6","","","0","","","100","60","26","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-19T11:17:01.398Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-19T11:17:33.966Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60f6b2a96945830013edeefd","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-20","60f145d12287270012a59b6a","","cy1uunhiaf","","","0","null","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-15T09:42:47.031Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","1010","1.5","10","1.515","100000","15.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","","7.2","","","","","","310","294","30","2.8","3.2","228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","odourless","","7.1","","","","","","240","224","25","1.5","0.4","205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","mildodour","","7.3","","","","","","254","240","20","1.2","2.4","127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","mildodour","","7.3","","","","","","280","260","22","2","2.4","340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","odourless","","7.3","","","","","","200","166","18","1.5","1.2","147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","","","7.4","","860","0.84","5","58.13953488372093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","odourless","","7.5","","","0.12","","","180","71","12","1.1","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-20T11:25:29.581Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-20T11:26:03.406Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60f7e9876945830013edef25","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-21","60f145d12287270012a59b6a","","mn1bxnxx6l","","","0","null","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-15T09:42:47.031Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","11300","1.5","10","16.95","100000","169.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","","7.2","","","","","","280","284","25","2.5","3.8","167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","odourless","","7.2","","","","","","210","228","22","1.2","0.8","152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","odourless","","7.2","","","","","","220","242","18","1","1.6","128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","mildodour","","7.3","","","","","","260","140","20","1.8","2.4","143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.3","","","","","","190","132","16","1.2","1.6","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","odourless","","7.4","","840","0.74","5","59.52380952380952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","","7.5","","","0.1","","","118","62","10","1","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-21T09:31:51.45Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-21T09:33:12.648Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60f94547abcada0012b05711","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-22","60f145d12287270012a59b6a","","mtpugyglur","","","0","null","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-22T07:25:53.331Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","10440","1.5","10","15.66","100000","156.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","","7.2","","","","","","260","350","40","4.7","3.8","158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","odourless","","7.2","","","","","","220","302","38","4.5","0.8","128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","odourless","","7.3","","","","","","230","302","35","4.2","1.2","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","mildodour","","7.3","","","","","","240","324","35","3.6","2.4","162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.4","","","","","","160","194","30","3.2","1.6","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","odourless","","7.5","","860","0","5","58.13953488372093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","","7.6","","","0","","","100","62","26","2.4","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-22T10:15:35.679Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-22T10:17:19.041Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60faa16b1a798500105d1e40","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-23","60f145d12287270012a59b6a","","bt1yek9nq4","","","0","2021-07-20T16:31","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-23T08:48:02.795Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","12530","1.5","9","18.795","90000","208.83333333333334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","11:05","7.2","","","","","","360","342","38","4","4","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","mildodour","","7.2","","","","","","280","326","35","38","1.8","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","odourless","","7.3","","","","","","250","336","32","4.4","0.8","115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","mildodour","","7.3","","","","","","320","373","36","4.6","2.8","135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.4","","","","","","240","192","28","3.5","1.6","110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","mildodour","","27.5","","848","0.32","5","58.9622641509434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","","7.6","","","0","","","210","78","25","2.8","3.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-23T11:00:59.753Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-23T11:02:24.635Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60fbec4b1a798500105d1e98","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-24","60f145d12287270012a59b6a","","pofrircn49","","","0","2021-07-21T16:03","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-23T08:48:02.795Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","12620","1.5","10","18.93","100000","189.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","","7.2","","","","","","220","340","37","4.5","5.2","143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","odourless","","7.2","","","","","","180","318","35","4.2","0.8","113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","odourless","","7.3","","","","","","170","330","30","3.8","1.2","103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","mildodour","","7.3","","","","","","200","362","32","3.5","2.4","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.4","","","","","","160","188","27","3","2","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","odourless","","7.5","","990","1.24","5","50.505050505050505","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","","7.6","","","0.64","","","120","82","22","2","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-24T10:32:43.639Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-24T10:34:08.856Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60fd2d791a798500105d1ef7","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-25","60f145d12287270012a59b6a","","jiz9rs37bp","","","0","2021-07-22T14:54","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-23T08:48:02.795Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","automatic","11950","1.5","10","17.925","100000","179.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","","7.1","","","","","","260","380","38","3","4","134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","odourless","","7.2","","","","","","190","312","32","2.8","0.8","108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","odourless","","7.2","","","","","","160","336","30","2.4","1.2","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","mildodour","","7.3","","","","","","220","388","34","2.6","2.4","122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.3","","","","","","180","200","26","2","1.6","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","mildodour","","7.4","","960","0","5","52.083333333333336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","mildodour","","7.5","","","0","","","110","74","20","1.6","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
