date,raw_sewage__tss,fst__tss,raw_sewage__bod,fst__bod,custom_dosing_data__flow
2022-09-03,336,8,209.0,5.0,1.015625
2022-09-06,436,8,232.0,5.0,1.140625
2022-09-09,612,10,375.0,5.0,0.9609375
2022-09-18,456,8,233.0,5.0,1.015625
2022-12-21,696,9,319.0,5.0,0.90234375
2023-09-03,448,22,169.0,5.0,0.98828125
2023-03-09,448,29,270.0,68.0,27.32
