_id__$oid,last_updated__$date,is_deleted,custom_dosing_data__dosing_mode,custom_dosing_data__applied_dose,custom_dosing_data__applied_dose_outlet,custom_dosing_data__flow,raw_sewage__time,raw_sewage__turbidity,raw_sewage__ph,raw_sewage__cod,raw_sewage__tss,raw_sewage__ammonia,raw_sewage__phosphate,raw_sewage__bod,raw_sewage__fst,pst_outlet__time,pst_outlet__turbidity,pst_outlet__ph,pst_outlet__cod,pst_outlet__tss,pst_outlet__ammonia,pst_outlet__bod,at__time,at__ph,at__mlss,at__do,at__percent_settlement,at__svi,fst__time,fst__turbidity,fst__ph,fst__cod,fst__tss,fst__ammonia,fst__phosphate,fst__do,fst__bod,remarks,date
62b2e88dbb059c00116fed71,2022-06-21T18:30:09.76Z,False,automatic,,40.0,1.015625,,,7.5,,988,50,4.5,220.0,,,,7.5,,256.0,,,,7.6,1780.0,0.24,10,56.17977528089887,,,7.8,,111,40.0,2.5,0.56,41.0,,2022-06-11
62b2f058bb059c00116fee4e,2022-06-21T18:30:09.76Z,False,automatic,,40.0,1.015625,,,7.3,,448,55,6.0,162.0,,,,7.2,,,,,,7.4,,0.4,2,,,,7.5,,78,35.0,3.5,1.6,45.0,,2022-06-12
62b2f0e4bb059c00116feea8,2022-06-21T18:30:09.76Z,False,automatic,,40.0,1.015625,,,7.2,,752,40,4.5,247.0,,,,7.4,,144.0,,,,7.5,320.0,0.0,1,31.25,,,7.6,,63,35.0,2.0,0.8,39.0,,2022-06-13
62b2f139bb059c00116feed9,2022-06-21T18:30:09.76Z,False,automatic,,40.0,1.0859375,,,7.5,,712,40,3.5,227.0,,,,7.5,,204.0,,,,7.6,370.0,1.6,2,54.054054054054056,,,7.6,,63,35.0,3.0,2.28,49.0,,2022-06-14
62b2f28ebb059c00116fef6a,2022-06-21T18:30:09.76Z,False,automatic,,40.0,0.88671875,,,7.6,552.0,508,55,2.5,206.0,,,,7.5,,140.0,,,,7.5,1330.0,0.0,8,60.15037593984962,,,7.6,41.0,50,45.0,2.0,0.48,41.0,,2022-06-15
62b2f863bb059c00116feff2,2022-06-21T18:30:09.76Z,False,automatic,,40.0,0.9453125,,,7.5,688.0,400,30,3.0,113.0,,,,7.4,,132.0,,,,7.6,690.0,0.9,3,43.47826086956522,,,7.6,176.0,37,20.0,1.0,,31.0,,2022-06-17
62b5758907ddd60012ba1d5a,2022-06-23T18:30:09.987Z,False,automatic,,40.0,1.0546875,,,7.3,,256,25,3.0,162.0,,,,7.3,,96.0,,,,7.7,680.0,0.64,10,147.05882352941177,,,7.7,,20,10.0,1.0,1.68,12.0,,2022-06-18
62b5770b07ddd60012ba1e13,2022-06-23T18:30:09.987Z,False,automatic,,40.0,1.046875,,,7.3,,184,25,3.0,110.0,,,,7.4,,120.0,,,,7.5,1350.0,0.0,26,192.59259259259255,,,7.6,,26,15.0,1.5,1.52,16.0,,2022-06-19
62b6d7fdc979c700126324e8,2022-06-24T18:30:09.781Z,False,automatic,,40.0,1.1,,,7.4,,236,35,3.0,172.0,,,,7.3,,196.0,,135.0,,7.5,880.0,0.65,5,56.81818181818181,,,7.5,,70,20.0,2.0,1.84,21.0,,2022-06-20
62b6d881c979c70012632538,2022-06-24T18:30:09.781Z,False,automatic,,40.0,1.1328125,,,7.4,690.0,496,30,2.5,195.0,,,,7.3,,156.0,,93.0,,7.5,630.0,0.84,5,79.36507936507937,,,7.4,72.0,14,10.0,1.0,1.64,26.0,,2022-06-21
